ad_id,suburb,title,address,price_raw,price_lkr,bedrooms,floor_sqft,url,land_perches,bathrooms
5721270,Maharagama,Luxury 2 Bedroom House Construction in Maharagama //...,"With or Without Land, Maharaga..",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5721270.html,7.0,2.0
5721279,Mattala,Super Luxury 5 Bedroom House in Mattala // Rs. 34.6...,"With or Without Land, Mattala",Rs. 34.65M[Build Cost Only],34650000.0,5.0,3500.0,https://www.lankapropertyweb.com/sale/property_details-5721279.html,12.0,5.0
5721280,Mattala,Ultra Modern 4 Bedroom House in Mattala // Rs. 31.1...,"With or Without Land, Mattala",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5721280.html,7.0,4.0
5870023,Negombo,(K458) Fully Furnished Villa For Sale in Santhorini...,,Rs. 64M,64000000.0,3.0,2510.0,https://www.lankapropertyweb.com/sale/property_details-5870023.html,8.0,3.0
5721281,Mattala,Luxury 3 Bedroom House in Mattala // Rs. 23.6 million...,"With or without land, Mattala",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721281.html,7.0,2.0
5721351,Malabe,Luxury 2 Bedroom House Construction in Malabe // Rs....,"With or Without Land, Malabe",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5721351.html,7.0,2.0
5721372,Kesbewa,2 Bedroom house in Kesbewa for Rs. 14.6 million / Rs....,"With or Without Land, Kesbewa",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5721372.html,7.0,2.0
5721767,Godagama,Luxury 3 Bedroom House New Construction in Godagama...,"With or Without Land, Godagama",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721767.html,7.0,2.0
5721781,Koggala,2 Bedroom Villa Construction in Godagama for Rs. 14.6...,"With or Without Land, Koggala",Rs. 14.63M[Build Cost Only],14630000.0,2.0,1000.0,https://www.lankapropertyweb.com/sale/property_details-5721781.html,7.0,2.0
5721803,Meegoda,Ultra Modern 4 Bedroom House in Meegoda for Rs. 31.1...,"With or Without Land, Meegoda",Rs. 31.19M[Build Cost Only],31190000.0,4.0,3150.0,https://www.lankapropertyweb.com/sale/property_details-5721803.html,10.0,4.0
5870021,Kadawatha,(K477) Modern Single Storey House For Sale in...,,Rs. 24.3M,24300000.0,3.0,1350.0,https://www.lankapropertyweb.com/sale/property_details-5870021.html,8.5,2.0
5721835,Meegoda,Rs. 236 Laks / 3 Bedroom Luxury house in Meegoda /...,"With or Without Land, Meegoda",Rs. 23.63M[Build Cost Only],23630000.0,3.0,2000.0,https://www.lankapropertyweb.com/sale/property_details-5721835.html,7.0,2.0
